,date,home_team,away_team,home_goals,away_goals,home_xG,away_xG,season,home_attack,home_defence,away_attack,away_defence
112,2017-11-18 15:00:00,Burnley,Swansea,2,0,1.5427,0.431402,2017,0.5127212705803844,0.7710695661695838,0.48413968062741075,0.9576588403856411
113,2017-11-18 15:00:00,Bournemouth,Huddersfield,4,0,1.38782,1.1633,2017,0.5825158992042071,1.371022480437591,0.5791938561068469,0.9339691165631765
114,2017-11-18 15:00:00,West Bromwich Albion,Chelsea,0,4,0.590655,1.71709,2017,0.7753591213904252,1.1472055135733077,1.1255172410810093,0.6109884449494559
115,2017-11-18 15:00:00,Liverpool,Southampton,3,0,2.06277,0.563886,2017,1.6518869212945313,0.3491165239290912,0.9244229387592441,1.2709887540354745
116,2017-11-18 15:00:00,Leicester,Manchester City,0,2,0.0970457,2.40056,2017,1.11104447182336,0.7281782809449739,2.2155413601647567,0.46345853340164406
117,2017-11-18 17:30:00,Manchester United,Newcastle United,4,1,2.57424,1.08708,2017,1.733386633114892,0.693904118113887,0.9102570631388586,0.6627469187402294
118,2017-11-19 16:00:00,Watford,West Ham,2,0,1.24547,1.43369,2017,0.7943308094315432,1.7532262349226946,0.7144971011473471,1.3109056984356475
119,2017-11-20 20:00:00,Brighton,Stoke,2,2,0.490058,1.20507,2017,0.49398221042643714,1.1436594476070745,0.6358687380154581,1.2985798807147977
120,2017-11-24 20:00:00,West Ham,Leicester,1,1,0.775297,0.453851,2017,0.6657313807835693,1.2788751796583344,1.1193884015206959,1.0137216653990433
121,2017-11-25 15:00:00,Manchester United,Brighton,1,0,1.50148,0.565072,2017,1.7378029505147494,0.7489823241248134,0.8141622910807712,0.8717044591520754
122,2017-11-25 15:00:00,Newcastle United,Watford,0,3,0.86002,2.05844,2017,0.8083436142749366,1.109243434245999,1.4874666758199366,0.9887669989169275
123,2017-11-25 15:00:00,Crystal Palace,Stoke,2,1,1.48339,0.628292,2017,1.1439258993469295,1.081438963835345,0.7207292706407055,1.14707043169102
124,2017-11-25 15:00:00,Tottenham,West Bromwich Albion,1,1,1.91526,0.71711,2017,1.090246959555779,0.564956212213202,0.5215876959625977,0.822507274379634
125,2017-11-25 15:00:00,Swansea,Bournemouth,0,0,0.879594,0.449075,2017,0.7501036651287549,1.4073945972084785,0.6145820077993803,1.1229175061960248
126,2017-11-25 17:30:00,Liverpool,Chelsea,1,1,1.50368,0.739983,2017,1.631351539688546,0.3781278206009483,1.2031373457383072,0.5841785606324148
127,2017-11-26 13:30:00,Southampton,Everton,4,1,1.97034,0.147724,2017,0.9576623506081415,0.7025637494173519,0.9026769788731076,1.121270254081918
128,2017-11-26 14:00:00,Burnley,Arsenal,0,1,0.402745,1.75184,2017,0.6054466884875749,0.713156971037448,1.3539490533702303,1.0578203469448744
129,2017-11-26 16:00:00,Huddersfield,Manchester City,1,2,0.537698,2.66178,2017,0.4707166029659242,0.912618887141941,2.222407142614716,0.4052587057182016
130,2017-11-28 19:45:00,Leicester,Tottenham,2,1,0.924575,2.50552,2017,0.9610785727262062,0.9742601936941749,1.44230449330436,0.6571152497342732
131,2017-11-28 19:45:00,Brighton,Crystal Palace,0,0,0.475162,0.584296,2017,0.4760495445506453,1.1442176598392577,0.7799824487791138,1.544803105351949
132,2017-11-28 20:00:00,Watford,Manchester United,2,4,1.29277,1.63491,2017,0.8245393350275085,1.6736069914375777,1.284490859960174,0.8659787149494282
133,2017-11-28 20:00:00,West Bromwich Albion,Newcastle United,2,2,0.845327,1.1342,2017,0.7353715860071159,1.2033729114342546,0.9220762352766932,0.8585235158187181
134,2017-11-29 19:45:00,Chelsea,Swansea,1,0,2.30012,0.0411427,2017,0.8903763397844355,0.9466622207362523,0.4602384534362789,1.0045156279846854
135,2017-11-29 19:45:00,Bournemouth,Burnley,1,2,0.915088,1.08519,2017,0.6621580705559849,1.2942988080370268,0.3468045259681064,1.2897336191298197
136,2017-11-29 19:45:00,Arsenal,Huddersfield,5,0,4.47889,0.475716,2017,1.6524369958138587,0.7156173373978382,0.6508062315152051,0.9663857926277877
137,2017-11-29 20:00:00,Stoke,Liverpool,0,3,0.846748,2.58757,2017,0.9297458769880909,1.3953835552882263,1.6281322723278888,1.3703709916762434
138,2017-11-29 20:00:00,Manchester City,Southampton,2,1,1.64952,1.7066,2017,2.2765107763710852,0.4769000557386254,0.8351817850238602,1.3162104192557729
139,2017-11-29 20:00:00,Everton,West Ham,4,0,1.76497,1.03658,2017,0.9411632685231054,1.4303375778434357,0.804592124513871,1.2654656928007861
140,2017-12-02 12:30:00,Chelsea,Newcastle United,3,1,3.07794,0.519549,2017,0.972495246619655,0.8143228688277162,0.9345054728165133,0.80884361034872
141,2017-12-02 15:00:00,Everton,Huddersfield,2,0,0.820024,0.223429,2017,0.9696743973438507,1.3507786663705985,0.6213059889002728,1.2365441364468734
142,2017-12-02 15:00:00,Leicester,Burnley,1,0,1.61269,0.789388,2017,0.9030957516287698,1.1589566908758182,0.4415197166862583,1.1677085944346597
143,2017-12-02 15:00:00,Stoke,Swansea,2,1,1.24743,0.320601,2017,0.8724222491459083,1.5270801127220757,0.40016842473391456,1.0607953091713689
144,2017-12-02 15:00:00,Watford,Tottenham,1,1,0.352672,0.788817,2017,0.8168209273140267,1.646169052503953,1.5559012778982084,0.6453457297429466
145,2017-12-02 15:00:00,West Bromwich Albion,Crystal Palace,0,0,1.65178,0.80924,2017,0.6991619875615108,1.1781537603016197,0.739082326255086,1.355232781500674
146,2017-12-02 15:00:00,Brighton,Liverpool,1,5,1.65878,1.77566,2017,0.4489680026595828,1.0479872644280275,1.7244852827147683,1.2476273382858343
147,2017-12-02 17:30:00,Arsenal,Manchester United,1,3,4.24057,2.06831,2017,1.8249402845819105,0.6844537677013098,1.3285908227459677,0.8580996847240111
148,2017-12-03 13:30:00,Bournemouth,Southampton,1,1,1.11195,1.00264,2017,0.6388060447983505,1.2600799323077363,0.9576030133820073,1.266860154993006
149,2017-12-03 16:00:00,Manchester City,West Ham,2,1,2.45603,0.474483,2017,2.089142642228569,0.6343713573734036,0.8213122988180969,1.2433101482465991
150,2017-12-09 12:30:00,West Ham,Chelsea,1,0,0.418127,1.18891,2017,0.6395666158784904,1.1387707005348278,1.1206231165877765,0.6379976252792099
151,2017-12-09 15:00:00,Tottenham,Stoke,5,1,4.01925,0.749296,2017,1.115980611315493,0.5785298273367395,0.6996858793868839,1.123591871616674
152,2017-12-09 15:00:00,Swansea,West Bromwich Albion,1,0,1.01101,0.25228,2017,0.726151371035387,1.2621764804143472,0.5414886818450921,0.8866417034841668
153,2017-12-09 15:00:00,Burnley,Watford,1,0,0.485632,0.819233,2017,0.5558326044966763,0.8340609195342932,1.546011829763076,0.9287231276442552
154,2017-12-09 15:00:00,Crystal Palace,Bournemouth,2,2,4.61208,0.962374,2017,1.1208983463256452,1.0077688248273788,0.5850334971908215,1.0454940903581451
