Team,Div,avg_HomeGoalsScored,avg_HomeGoalsConceded,avg_HomeShots,avg_HomeShotsConceded,avg_HomeShotsOnTarget,avg_HomeShotsOnTargetConceded,avg_HomeCorners,avg_HomeCornersConceded,avg_Home_goal_difference,avg_Home_ppg,avg_Home_win_percentage,avg_AwayGoalsConceded,avg_AwayGoalsScored,avg_AwayShotsConceded,avg_AwayShots,avg_AwayShotsOnTargetConceded,avg_AwayShotsOnTarget,avg_AwayCornersConceded,avg_AwayCorners,avg_Away_goal_difference,avg_Away_ppg,avg_Away_win_percentage
Liverpool,2018-19,2.8947368421052633,0.5263157894736842,17.63157894736842,6.631578947368421,6.631578947368421,2.1052631578947367,7.0,2.9473684210526314,2.368421052631579,2.789473684210526,89.47368421052632,0.631578947368421,1.7894736842105263,9.526315789473685,12.578947368421053,3.0,5.2631578947368425,3.6842105263157894,6.105263157894737,1.1578947368421053,2.3157894736842106,68.42105263157895
Liverpool,2019-20,2.736842105263158,0.8421052631578947,16.526315789473685,9.052631578947368,6.7894736842105265,3.0526315789473686,7.578947368421052,4.842105263157895,1.8947368421052633,2.8947368421052633,94.73684210526315,0.8947368421052632,1.736842105263158,9.0,14.526315789473685,2.6842105263157894,5.368421052631579,3.5789473684210527,6.0,0.8421052631578948,2.31578947368421,73.68421052631578
Man City,2017-18,3.210526315789474,0.7368421052631579,18.263157894736842,5.578947368421052,7.947368421052632,2.1052631578947367,7.2631578947368425,2.473684210526316,2.473684210526316,2.631578947368421,84.21052631578947,0.6842105263157895,2.3684210526315788,6.947368421052632,16.68421052631579,2.473684210526316,5.7894736842105265,2.9473684210526314,7.684210526315789,1.6842105263157894,2.631578947368421,84.21052631578947
Man City,2018-19,3.0,0.631578947368421,20.31578947368421,5.947368421052632,7.7894736842105265,2.1052631578947367,7.526315789473684,2.0526315789473686,2.3684210526315788,2.8421052631578947,94.73684210526315,0.5789473684210527,2.0,6.473684210526316,15.631578947368421,2.263157894736842,5.894736842105263,2.263157894736842,7.578947368421052,1.4210526315789473,2.31578947368421,73.68421052631578
Man City,2019-20,3.0,0.6842105263157895,20.736842105263158,6.631578947368421,7.105263157894737,2.3684210526315788,8.263157894736842,2.473684210526316,2.3157894736842106,2.4736842105263155,78.94736842105263,1.1578947368421053,2.3684210526315788,8.052631578947368,18.473684210526315,3.6842105263157894,6.7368421052631575,2.6842105263157894,7.421052631578948,1.2105263157894735,1.7894736842105263,57.89473684210527
Man United,2017-18,2.0,0.47368421052631576,14.473684210526315,9.263157894736842,4.894736842105263,3.4210526315789473,6.157894736842105,3.9473684210526314,1.5263157894736843,2.4736842105263155,78.94736842105263,1.0,1.5789473684210527,13.68421052631579,12.526315789473685,4.2631578947368425,4.631578947368421,5.2631578947368425,5.421052631578948,0.5789473684210527,1.7894736842105263,52.63157894736842
Man United,2018-19,1.736842105263158,1.3157894736842106,14.947368421052632,11.052631578947368,6.631578947368421,4.2631578947368425,6.105263157894737,4.526315789473684,0.42105263157894735,1.8947368421052633,52.63157894736842,1.5263157894736843,1.6842105263157894,14.894736842105264,12.736842105263158,4.842105263157895,5.2105263157894735,5.2631578947368425,4.421052631578948,0.1578947368421051,1.5789473684210527,47.368421052631575
Man United,2019-20,2.1052631578947367,0.8947368421052632,15.736842105263158,8.578947368421053,6.2105263157894735,3.210526315789474,5.052631578947368,4.473684210526316,1.2105263157894735,1.9473684210526316,52.63157894736842,1.0,1.368421052631579,11.789473684210526,12.842105263157896,3.526315789473684,5.157894736842105,5.315789473684211,5.684210526315789,0.368421052631579,1.526315789473684,42.10526315789473
Newcastle,2017-18,1.105263157894737,0.8947368421052632,11.789473684210526,11.473684210526315,3.736842105263158,3.4210526315789473,4.368421052631579,5.0,0.21052631578947378,1.4736842105263157,42.10526315789473,1.5789473684210527,0.9473684210526315,13.736842105263158,11.842105263157896,4.842105263157895,4.157894736842105,6.7368421052631575,4.421052631578948,-0.6315789473684211,0.8421052631578947,21.052631578947366
Newcastle,2018-19,1.263157894736842,1.3157894736842106,14.0,10.736842105263158,4.2105263157894735,3.1578947368421053,5.894736842105263,5.2631578947368425,-0.052631578947368585,1.3157894736842104,42.10526315789473,1.2105263157894737,0.9473684210526315,15.0,9.368421052631579,4.631578947368421,3.263157894736842,6.894736842105263,3.6315789473684212,-0.26315789473684215,1.0526315789473684,21.052631578947366
